batch_id,total_visited_triples,total_removed_triples,num_distinct_patterns,expected_num_instances,retrieved_num_instances,epsilon,dbcv_s,validity_index,min_cluster_size,n_clusters,n_outliers,silhouette_s,processed_explicit_classes,elapsed_time_s,total_n_queries,n_nodes
0,610724,689,1561,1983,1863,0.0,0.4171135864108303,0.5512755373066522,10,58,343,0.5287125949130957,30,434.1112,62,467
1,386363,1332,1535,1772,1780,0.0,0.3510151698297257,0.43056531069000314,15,33,469,0.35615231702754513,9,388.4365,39,533
2,269131,437,1465,1911,1907,0.0,0.4104238225371116,0.5270553104778624,20,27,548,0.35639414924397605,7,348.8059,28,511
3,358688,614,1494,1662,2195,0.0,0.35247293751474484,0.48449034160591214,10,61,359,0.538441065359361,5,447.7425,36,430
4,635752,314,1364,1918,1914,0.0,0.41863580244690346,0.7124282261477533,20,31,411,0.506570409210945,5,485.9132,65,436
5,197626,408,1031,1759,1668,0.0,0.42828643405830097,0.39535534382785387,20,19,556,0.2870711547514982,4,232.0291,21,587
6,370157,428,1387,1902,1846,0.0,0.4125469537007933,0.5465635945441596,10,53,409,0.44308113214359746,4,324.2695,38,466
7,196950,228,888,1505,1409,0.0,0.44065287688648064,0.6695204254264061,15,28,308,0.4706627718290256,3,201.9129,20,319
8,229958,463,1410,1612,1616,0.0,0.2734771268581502,0.5916181697287368,20,29,481,0.29615609908819035,3,248.0816,26,469
9,229678,886,1257,1693,1564,0.0,0.4271594290553452,0.6068469648742962,20,25,350,0.4537667513904119,3,215.4258,24,358
