batch_id,total_visited_triples,total_removed_triples,num_distinct_patterns,expected_num_instances,retrieved_num_instances,epsilon,dbcv_s,validity_index,min_cluster_size,n_clusters,n_outliers,silhouette_s,processed_explicit_classes,elapsed_time_s,total_n_queries,n_nodes
0,2447342,11594,1555,1998,1983,0.0,0.34660409227633787,0.3232133130473916,10,36,761,0.12871601248818598,698,916.6757,68,1377
1,1382664,11433,1178,2000,1984,0.0,0.48047328677967205,0.5353263086327943,15,22,661,0.2858027596476625,180,542.521,17,567
2,172888,9557,1000,1982,1939,0.0,0.47465424760285424,0.6779150973679929,10,84,415,0.5104419814980334,90,259.0827,10,402
3,86506,8398,848,1959,1916,0.0,0.4202455506612864,0.5629169571231548,20,19,702,0.18549439685206748,55,395.0584,3,279
4,220816,10183,849,1956,1870,0.0,0.769182601142643,0.8910697717156941,15,54,134,0.8346749241344125,39,291.3291,3,212
5,424511,12844,824,1961,1961,0.0,0.7644743306121216,0.770522788998018,15,48,100,0.8677965682955571,30,339.0875,3,149
6,104703,6386,714,1945,1945,0.0,0.8569976296385338,0.9511588360080476,15,52,49,0.9402240476273712,24,244.7015,4,92
7,412559,6439,808,1971,1945,0.0,0.7188705987343813,0.8782240199965089,15,49,94,0.8578395466631465,20,276.7593,2,148
8,209940,5472,721,1904,1900,0.0,0.7246828358663596,0.9090152717247082,10,56,70,0.8781684569369791,15,249.3041,2,101
9,205544,7736,689,1920,1917,0.0,0.681160652538961,0.7768391256377958,15,45,128,0.8239745223671097,13,239.5978,2,150
